Estado,Sigla,sigla,População,votos
Acre,AC,ac,894470,77.22
Alagoas,AL,al,3351543,40.08
Amazonas,AM,am,4207714,50.27
Amapá,AP,ap,861773,50.20
Bahia,BA,ba,14930634,27.31
Ceará,CE,ce,9187103,28.89
Distrito Federal,DF,df,3055149,69.99
Espírito Santo,ES,es,4064052,63.06
Goiás,GO,go,7113540,65.52
Maranhão,MA,ma,7114598,26.74
Minas Gerais,MG,mg,21292666,58.19
Mato Grosso do Sul,MS,ms,2809394,65.22
Mato Grosso,MT,mt,3526220,66.42
Pará,PA,pa,8690745,45.19
Paraíba,PB,pb,4039277,35.02
Pernambuco,PE,pe,9616621,33.50
Piauí,PI,pi,3281480,22.95
Paraná,PR,pr,11516840,68.43
Rio de Janeiro,RJ,rj,17366189,67.95
Rio Grande do Norte,RN,rn,3534165,36.59
Rondônia,RO,ro,1796460,72.18
Roraima,RR,rr,631181,71.55
Rio Grande do Sul,RS,rs,11422973,63.24
Santa Catarina,SC,sc,7252502,75.92
Sergipe,SE,se,2318822,32.46
São Paulo,SP,sp,46289333,67.97
Tocantins,TO,to,1590248,48.98
